Inv. Date,Area,Customer,Customer Name,Comp,Branch,STYP,Order No,  Item,DLV. No,  Item,Bill Typ,Invoice No,  Item,Mat.Gr,Parts No,Description,Q'ty,BUn,  Sales Amount,        Tax,Faktur Pajak No.
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150644,20,796516114,10,ZFBH,56318759,2,8R1,VH23390E0020J1M," ELEMENT, FUEL",1,PC,"115,700","12,727",010.002-23.87621843
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150644,30,796516115,10,ZFBH,56318759,3,8R1,YN21P01157R100J1J,"FILTER, FUEL",1,PC,"210,000","23,100",010.002-23.87621843
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150644,50,796516116,10,ZFBH,56318759,4,8R1,VHS156072190J1M," FILTER, OIL",1,PC,"115,700","12,727",010.002-23.87621843
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150644,60,796516117,10,ZFBH,56318759,5,8R1,VH23390E0020J1M," ELEMENT, FUEL",1,PC,"115,700","12,727",010.002-23.87621843
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150644,70,796516118,10,ZFBH,56318759,6,8R1,YN21P01157R100J1J,"FILTER, FUEL",1,PC,"210,000","23,100",010.002-23.87621843
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150644,100,796516119,10,ZFBH,56318759,7,8R1,VHS156072190J1M," FILTER, OIL",1,PC,"115,700","12,727",010.002-23.87621843
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150644,110,796516120,10,ZFBH,56318759,8,8R1,VH23390E0020J1M," ELEMENT, FUEL",1,PC,"115,700","12,727",010.002-23.87621843
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150644,120,796516121,10,ZFBH,56318759,9,8R1,YN21P01157R100J1J,"FILTER, FUEL",1,PC,"210,000","23,100",010.002-23.87621843
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150644,40,796516122,10,ZFBH,56318759,10,8RB,DKL-EOILDH1-S22,OIL ENGINE DH1 15W40 (PAIL-22),1,PC,"650,000","71,500",010.002-23.87621843
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150644,80,796516123,10,ZFBH,56318759,11,8RB,DKL-EOILDH1-S22,OIL ENGINE DH1 15W40 (PAIL-22),1,PC,"650,000","71,500",010.002-23.87621843
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150644,90,796516124,10,ZFBH,56318759,12,8RB,DKL-EOILDH1-S22,OIL ENGINE DH1 15W40 (PAIL-22),1,PC,"650,000","71,500",010.002-23.87621843
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150646,10,796516107,10,ZFBH,56318760,1,8R3,VHS112132020,"GASKET,CYL HEAD COVE",1,PC,"472,550","51,981",010.002-23.87621844
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150646,20,796516108,10,ZFBH,56318760,2,8R3,VH11188E0010,"PLUG,CAMSHAFT HOUSIN",2,PC,"236,600","26,026",010.002-23.87621844
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150646,30,796516109,10,ZFBH,56318760,3,8R4,923582,O-RING,1,PC,"41,600","4,576",010.002-23.87621844
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150646,40,796516110,10,ZFBH,56318760,4,8RB,DKL-HOIL68-I20,OIL HYD 68LL (PAIL),10,PC,"5,480,000","602,800",010.002-23.87621844
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150646,50,796516111,10,ZFBH,56318760,5,8RB,DKL-EOILDH1-I22,OIL ENGINE DH1 15W40 (PAIL-22),5,PC,"3,250,000","357,500",010.002-23.87621844
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150646,60,796516112,10,ZFBH,56318760,6,8RB,DKL-GOIL-90-I5,OIL GEAR 90 (PAIL 5 LITERS),6,PC,"1,350,000","148,500",010.002-23.87621844
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150648,80,796516097,10,ZFBH,56318761,1,8R9,YN52S00103P1,"SENSOR, PRESS",1,PC,"926,000","101,860",010.002-23.87621845
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150648,100,796516098,10,ZFBH,56318761,2,8R9,YN52S00103P1,"SENSOR, PRESS",1,PC,"926,000","101,860",010.002-23.87621845
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150648,30,796516099,10,ZFBH,56318761,3,8R1,VA32G6200100J1M," ELEMENT, FUEL",1,PC,"113,100","12,441",010.002-23.87621845
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150648,40,796516100,10,ZFBH,56318761,4,8R1,VA3436204100J1M," FILTER, FUEL",1,PC,"193,700","21,307",010.002-23.87621845
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150648,50,796516101,10,ZFBH,56318761,5,8R1,VA32G4001100J1M," FILTER, OIL",1,PC,"109,200","12,012",010.002-23.87621845
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150648,70,796516102,10,ZFBH,56318761,6,8R1,YN52V01025R100,REPAIR KIT,1,PC,"857,350","94,309",010.002-23.87621845
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150648,10,796516103,10,ZFBH,56318761,7,8RB,DKL-HOIL68-I20,OIL HYD 68LL (PAIL),2,PC,"1,096,000","120,560",010.002-23.87621845
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150648,20,796516104,10,ZFBH,56318761,8,8RB,DKL-HOIL68-I20,OIL HYD 68LL (PAIL),3,PC,"1,644,000","180,840",010.002-23.87621845
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150648,60,796516105,10,ZFBH,56318761,9,8RB,DKL-EOILDH1-S22,OIL ENGINE DH1 15W40 (PAIL-22),1,PC,"650,000","71,500",010.002-23.87621845
